sequence,cq_level,base_qindex,block_dim,partition,partition_name,count,is_decision_node
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,8,0,NONE,55940,0
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,0,NONE,67099,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,1,HORZ,7902,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,2,VERT,1469,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,3,SPLIT,19,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,4,HORZ_A,19,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,5,HORZ_B,31,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,6,VERT_A,10,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,7,VERT_B,22,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,0,NONE,23598,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,1,HORZ,861,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,2,VERT,618,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,3,SPLIT,4848,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,4,HORZ_A,143,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,5,HORZ_B,84,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,6,VERT_A,117,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,7,VERT_B,54,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,8,HORZ_4,91,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,9,VERT_4,114,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,0,NONE,4875,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,1,HORZ,219,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,2,VERT,179,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,3,SPLIT,2733,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,4,HORZ_A,54,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,5,HORZ_B,60,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,6,VERT_A,57,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,7,VERT_B,61,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,8,HORZ_4,22,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,9,VERT_4,32,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,8,0,NONE,380442,0
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,0,NONE,108527,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,1,HORZ,14340,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,2,VERT,4338,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,3,SPLIT,2778,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,4,HORZ_A,1057,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,5,HORZ_B,786,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,6,VERT_A,609,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,7,VERT_B,439,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,0,NONE,17042,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,1,HORZ,4376,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,2,VERT,1298,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,3,SPLIT,7738,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,4,HORZ_A,1871,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,5,HORZ_B,2309,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,6,VERT_A,825,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,7,VERT_B,1346,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,8,HORZ_4,1817,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,9,VERT_4,260,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,0,NONE,1580,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,1,HORZ,227,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,2,VERT,24,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,3,SPLIT,7805,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,4,HORZ_A,85,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,5,HORZ_B,97,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,6,VERT_A,5,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,7,VERT_B,28,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,8,HORZ_4,147,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,9,VERT_4,27,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,8,0,NONE,251863,0
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,0,NONE,104826,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,1,HORZ,6865,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,2,VERT,2893,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,3,SPLIT,630,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,4,HORZ_A,231,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,5,HORZ_B,308,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,6,VERT_A,150,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,7,VERT_B,158,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,0,NONE,21975,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,1,HORZ,5022,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,2,VERT,1705,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,3,SPLIT,3677,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,4,HORZ_A,1060,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,5,HORZ_B,1162,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,6,VERT_A,534,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,7,VERT_B,667,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,8,HORZ_4,997,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,9,VERT_4,207,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,0,NONE,2315,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,1,HORZ,656,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,2,VERT,83,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,3,SPLIT,6173,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,4,HORZ_A,169,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,5,HORZ_B,256,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,6,VERT_A,19,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,7,VERT_B,35,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,8,HORZ_4,183,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,9,VERT_4,11,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,8,0,NONE,129439,0
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,0,NONE,90341,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,1,HORZ,3280,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,2,VERT,1812,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,3,SPLIT,62,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,4,HORZ_A,63,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,5,HORZ_B,105,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,6,VERT_A,39,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,7,VERT_B,48,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,0,NONE,21485,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,1,HORZ,6178,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,2,VERT,2387,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,3,SPLIT,1709,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,4,HORZ_A,538,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,5,HORZ_B,482,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,6,VERT_A,336,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,7,VERT_B,255,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,8,HORZ_4,731,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,9,VERT_4,214,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,0,NONE,3149,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,1,HORZ,861,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,2,VERT,192,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,3,SPLIT,4466,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,4,HORZ_A,141,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,5,HORZ_B,236,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,6,VERT_A,31,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,7,VERT_B,125,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,8,HORZ_4,396,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,9,VERT_4,23,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,8,0,NONE,59155,0
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,0,NONE,64888,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,1,HORZ,1707,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,2,VERT,963,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,3,SPLIT,25,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,4,HORZ_A,32,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,5,HORZ_B,21,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,6,VERT_A,17,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,16,7,VERT_B,18,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,0,NONE,22294,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,1,HORZ,4047,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,2,VERT,1506,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,3,SPLIT,891,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,4,HORZ_A,265,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,5,HORZ_B,210,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,6,VERT_A,103,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,7,VERT_B,113,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,8,HORZ_4,436,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,32,9,VERT_4,152,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,0,NONE,3731,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,1,HORZ,1024,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,2,VERT,369,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,3,SPLIT,3031,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,4,HORZ_A,135,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,5,HORZ_B,191,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,6,VERT_A,57,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,7,VERT_B,120,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,8,HORZ_4,529,1
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,55,220,64,9,VERT_4,36,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,8,0,NONE,395972,0
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,16,0,NONE,88096,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,16,1,HORZ,6782,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,16,2,VERT,13601,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,16,3,SPLIT,16904,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,16,4,HORZ_A,3055,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,16,5,HORZ_B,2160,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,16,6,VERT_A,4064,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,16,7,VERT_B,3859,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,0,NONE,16776,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,1,HORZ,455,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,2,VERT,763,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,3,SPLIT,15886,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,4,HORZ_A,404,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,5,HORZ_B,411,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,6,VERT_A,570,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,7,VERT_B,472,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,8,HORZ_4,432,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,32,9,VERT_4,2020,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,0,NONE,2309,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,1,HORZ,12,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,2,VERT,31,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,3,SPLIT,7477,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,4,HORZ_A,1,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,5,HORZ_B,1,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,6,VERT_A,7,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,7,VERT_B,17,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,8,HORZ_4,1,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,20,80,64,9,VERT_4,65,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,8,0,NONE,298864,0
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,16,0,NONE,87380,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,16,1,HORZ,6532,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,16,2,VERT,11606,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,16,3,SPLIT,10683,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,16,4,HORZ_A,1574,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,16,5,HORZ_B,1247,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,16,6,VERT_A,2146,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,16,7,VERT_B,2312,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,0,NONE,18704,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,1,HORZ,748,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,2,VERT,1092,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,3,SPLIT,12436,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,4,HORZ_A,368,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,5,HORZ_B,392,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,6,VERT_A,396,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,7,VERT_B,522,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,8,HORZ_4,539,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,32,9,VERT_4,2011,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,0,NONE,2887,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,1,HORZ,21,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,2,VERT,75,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,3,SPLIT,6576,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,4,HORZ_A,4,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,5,HORZ_B,7,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,6,VERT_A,13,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,7,VERT_B,38,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,8,HORZ_4,5,1
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,32,128,64,9,VERT_4,104,1
