sequence,width,height,total_frames,num_frames_used,frames_used,cq_level,base_qindex,cpu_used,threads,num_samples,dim8,dim16,dim32,dim64,part_NONE,part_HORZ,part_VERT,part_SPLIT,part_HORZ_A,part_HORZ_B,part_VERT_A,part_VERT_B,part_HORZ_4,part_VERT_4,bin_path,pkl_path,timestamp
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,311806,168390,99380,34705,9331,267025,11233,11797,14484,1035,769,1206,1348,699,2210,/workspace/results/dataset_h9/CityAlley_3840x2160_50fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/CityAlley_3840x2160_50fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-09T19:53:51+00:00
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,188348,83145,66688,29615,8900,162442,5505,7503,8497,531,298,465,718,519,1870,/workspace/results/dataset_h9/CityAlley_3840x2160_50fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/CityAlley_3840x2160_50fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-09T20:09:37+00:00
FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,596448,411581,137629,37415,9823,550659,3149,9816,24966,878,1689,1720,2352,93,1126,/workspace/results/dataset_h9/FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-09T20:49:47+00:00
FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,411872,255448,113308,34287,8829,383353,2223,2623,21502,342,530,287,656,73,283,/workspace/results/dataset_h9/FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-09T21:13:47+00:00
FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,195997,74745,81353,31358,8541,178470,6047,2598,7831,161,201,114,299,61,215,/workspace/results/dataset_h9/FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-09T21:30:46+00:00
FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,82912,16444,34585,23752,8131,76936,1451,1390,2578,84,85,65,166,33,124,/workspace/results/dataset_h9/FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/FlowerFocus_3840x2160_50fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-09T21:42:08+00:00
FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,561648,390804,126172,35743,8929,464353,13509,16662,35114,7146,8001,7947,7638,503,775,/workspace/results/dataset_h9/FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-09T22:26:31+00:00
FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,447052,290090,112239,35125,9598,383447,9661,11691,26526,3449,3735,3662,3593,387,901,/workspace/results/dataset_h9/FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-09T22:57:02+00:00
FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,330766,194656,95294,31512,9304,281060,12929,12044,15037,2151,1754,1895,1678,879,1339,/workspace/results/dataset_h9/FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-09T23:24:32+00:00
FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,225941,112208,77164,28047,8522,193669,8812,7631,9703,981,926,867,785,1146,1421,/workspace/results/dataset_h9/FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/FlowerKids_3840x2160_50fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-09T23:45:11+00:00
FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,760120,549358,159809,40757,10196,596128,11023,40142,57338,9924,8959,19535,15984,19,1068,/workspace/results/dataset_h9/FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T00:42:29+00:00
FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,679082,475989,152389,40521,10183,567449,12261,33441,36060,6371,4422,8717,7799,168,2394,/workspace/results/dataset_h9/FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T01:27:51+00:00
FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,527192,333170,143524,40354,10144,452219,12115,23306,21668,3508,2406,4212,3417,714,3627,/workspace/results/dataset_h9/FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T02:09:25+00:00
FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,351246,175224,126230,39663,10129,308243,8225,12113,11637,1945,1304,1955,1622,752,3450,/workspace/results/dataset_h9/FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/FlowerPan_3840x2160_50fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T02:40:20+00:00
HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,680754,480532,150045,40049,10128,593287,10330,21798,31870,4708,5151,6292,6155,91,1072,/workspace/results/dataset_h9/HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T03:38:05+00:00
HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,531180,356898,128272,36328,9682,490198,6645,7802,17910,1821,2090,1681,2176,283,574,/workspace/results/dataset_h9/HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T04:13:41+00:00
HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,316624,161570,109942,35519,9593,291399,6515,5900,8236,1084,847,898,984,280,481,/workspace/results/dataset_h9/HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T04:42:03+00:00
HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,195032,73357,79169,32994,9512,180973,3614,3613,4312,572,485,462,589,137,275,/workspace/results/dataset_h9/HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/HoneyBee_3840x2160_120fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T05:02:34+00:00
Jockey_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,629802,436750,144120,38861,10071,567197,10150,10936,27107,2943,4031,2881,3169,851,537,/workspace/results/dataset_h9/Jockey_3840x2160_120fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/Jockey_3840x2160_120fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T05:48:01+00:00
Jockey_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,470678,304197,122419,34846,9216,436451,5958,3088,20575,1135,1235,613,730,716,177,/workspace/results/dataset_h9/Jockey_3840x2160_120fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/Jockey_3840x2160_120fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T06:15:14+00:00
Jockey_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,256856,116303,98240,33373,8940,235909,7657,3156,7794,546,457,311,291,575,160,/workspace/results/dataset_h9/Jockey_3840x2160_120fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/Jockey_3840x2160_120fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T06:35:22+00:00
Jockey_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,129287,36045,56022,28522,8698,117838,3954,1843,4253,200,287,165,184,391,172,/workspace/results/dataset_h9/Jockey_3840x2160_120fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/Jockey_3840x2160_120fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T06:49:01+00:00
Lips_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,788218,576046,161174,40798,10200,608676,11700,16195,76317,17062,19260,18534,20332,18,124,/workspace/results/dataset_h9/Lips_3840x2160_120fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/Lips_3840x2160_120fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T08:03:20+00:00
Lips_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,586573,406339,132836,37808,9590,545113,3214,8093,21044,1160,1688,1760,2054,189,2258,/workspace/results/dataset_h9/Lips_3840x2160_120fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/Lips_3840x2160_120fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T08:44:46+00:00
Lips_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,342356,196673,104510,33288,7885,314740,3389,1619,21841,147,220,108,199,35,58,/workspace/results/dataset_h9/Lips_3840x2160_120fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/Lips_3840x2160_120fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T09:05:50+00:00
Lips_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,134297,37090,62261,27167,7779,118366,5477,2520,7543,37,82,28,45,96,103,/workspace/results/dataset_h9/Lips_3840x2160_120fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/Lips_3840x2160_120fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T09:19:54+00:00
RaceNight_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,718154,508111,159447,40433,10163,593999,22908,16060,53845,8189,8106,6933,6635,1095,384,/workspace/results/dataset_h9/RaceNight_3840x2160_50fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/RaceNight_3840x2160_50fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T10:13:45+00:00
RaceNight_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,532538,357288,129901,36262,9087,475062,9903,5937,32916,2387,1805,1939,1360,927,302,/workspace/results/dataset_h9/RaceNight_3840x2160_50fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/RaceNight_3840x2160_50fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T10:45:25+00:00
RaceNight_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,366869,212280,110448,35163,8978,323795,10818,6551,20282,1290,912,989,793,957,482,/workspace/results/dataset_h9/RaceNight_3840x2160_50fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/RaceNight_3840x2160_50fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T11:11:57+00:00
RaceNight_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,208659,92364,77328,30201,8766,183038,8181,4937,8777,627,571,521,428,1007,572,/workspace/results/dataset_h9/RaceNight_3840x2160_50fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/RaceNight_3840x2160_50fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T11:30:27+00:00
ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,625253,434096,142017,39244,9896,524186,22357,19912,32586,5896,5541,5879,5264,1839,1793,/workspace/results/dataset_h9/ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T12:11:13+00:00
ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,515674,338948,128921,37941,9864,441727,18893,16659,21854,3285,3048,3196,2997,2068,1947,/workspace/results/dataset_h9/ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T12:44:31+00:00
ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,391096,230659,114685,36104,9648,337475,14688,13206,13740,2159,1694,1768,1593,2367,2406,/workspace/results/dataset_h9/ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T13:14:57+00:00
ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,283099,141167,98710,33822,9400,245658,10939,9075,9187,1259,954,855,854,2003,2315,/workspace/results/dataset_h9/ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/ReadySetGo_3840x2160_120fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T13:38:25+00:00
RiverBank_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,657221,463987,144695,38784,9755,525334,30877,6572,52305,14588,13688,5669,5762,2362,64,/workspace/results/dataset_h9/RiverBank_3840x2160_50fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/RiverBank_3840x2160_50fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T14:23:35+00:00
RiverBank_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,564514,386992,130417,37412,9693,459293,36316,8063,34120,9511,8017,2670,2469,3917,138,/workspace/results/dataset_h9/RiverBank_3840x2160_50fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/RiverBank_3840x2160_50fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T15:00:24+00:00
RiverBank_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,461959,306008,112173,34402,9376,378334,35163,9599,20979,5506,4028,1374,1234,5127,615,/workspace/results/dataset_h9/RiverBank_3840x2160_50fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/RiverBank_3840x2160_50fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T15:35:41+00:00
RiverBank_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,327838,195654,93347,30154,8683,276330,22868,5182,12293,2272,1601,629,553,5776,334,/workspace/results/dataset_h9/RiverBank_3840x2160_50fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/RiverBank_3840x2160_50fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T16:00:59+00:00
ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,300,5,0;75;150;224;299,20,80,0,1,693381,490018,152902,40271,10190,588680,16479,24750,33666,7318,6194,8818,6995,37,444,/workspace/results/dataset_h9/ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T17:05:21+00:00
ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,300,5,0;75;150;224;299,32,128,0,1,573399,396427,129440,37564,9968,539480,7712,5054,12767,2044,2464,1662,1970,97,149,/workspace/results/dataset_h9/ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T17:49:36+00:00
ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,300,5,0;75;150;224;299,43,172,0,1,408994,243348,118440,37303,9903,385068,7542,5006,7562,1297,1004,595,718,78,124,/workspace/results/dataset_h9/ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T18:25:43+00:00
ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,300,5,0;75;150;224;299,55,220,0,1,266536,121571,98677,36413,9875,248710,5565,3828,6320,497,548,298,474,116,180,/workspace/results/dataset_h9/ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/ShakeNDry_3840x2160_120fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T18:51:00+00:00
SunBath_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,300,5,0;75;150;224;299,20,80,0,1,488897,316143,125816,37169,9769,435437,11459,12810,17018,2483,2724,2660,2638,612,1056,/workspace/results/dataset_h9/SunBath_3840x2160_50fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/SunBath_3840x2160_50fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T19:22:49+00:00
SunBath_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,300,5,0;75;150;224;299,32,128,0,1,339521,187038,107570,35150,9763,299831,10131,10710,10995,1366,1659,1288,1721,720,1100,/workspace/results/dataset_h9/SunBath_3840x2160_50fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/SunBath_3840x2160_50fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T19:45:38+00:00
SunBath_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,300,5,0;75;150;224;299,43,172,0,1,239609,110073,87839,32224,9473,206741,10794,10838,6711,709,705,594,743,747,1027,/workspace/results/dataset_h9/SunBath_3840x2160_50fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/SunBath_3840x2160_50fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T20:05:32+00:00
SunBath_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,300,5,0;75;150;224;299,55,220,0,1,183312,75081,69199,30013,9019,155248,11100,8987,4917,404,454,288,432,662,820,/workspace/results/dataset_h9/SunBath_3840x2160_50fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/SunBath_3840x2160_50fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T20:21:31+00:00
Twilight_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,539283,359790,133304,36880,9309,476035,5938,3397,44392,2648,2330,1901,1827,411,404,/workspace/results/dataset_h9/Twilight_3840x2160_50fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/Twilight_3840x2160_50fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T20:50:05+00:00
Twilight_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,402495,244744,113202,35467,9082,355336,7586,3124,29714,1496,1860,1120,1412,498,349,/workspace/results/dataset_h9/Twilight_3840x2160_50fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/Twilight_3840x2160_50fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-10T21:13:09+00:00
Twilight_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,231709,110112,81701,31177,8719,200660,9456,4183,13356,865,805,554,610,748,472,/workspace/results/dataset_h9/Twilight_3840x2160_50fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/Twilight_3840x2160_50fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-10T21:32:12+00:00
Twilight_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,113260,38410,44782,22468,7600,98012,4182,2459,6352,352,361,242,246,593,461,/workspace/results/dataset_h9/Twilight_3840x2160_50fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/Twilight_3840x2160_50fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-10T21:45:07+00:00
YachtRide_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,614267,423288,141395,39477,10107,532163,27200,6191,27920,6149,5589,2774,2649,3438,194,/workspace/results/dataset_h9/YachtRide_3840x2160_120fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/YachtRide_3840x2160_120fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-10T22:23:26+00:00
